,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:10:00,,,1088.0,694.0,3438.0,,971.0,1241.0,148.0,505.0,555.0,54.0,,6688.0,1881.0,3501.0,189.0,171.0,244.0,,,,6.0,591.0,,340.0,1341.0,,559.0,1581.0,1772.0,267.0,225.0,1100.0,1253.0,,705.0,464.0,2122.0,,1580.0,5116.0,921.0,976.0,366.0,5239.0,3745.0,360.0,4976.0,,983.0,811.0,2452.0,,463.0,4445.0,3218.0,44.0,788.0,,619.0,
2021-03-24 21:11:00,,,993.0,532.0,1477.0,,948.0,1025.0,109.0,472.0,464.0,61.0,,5153.0,882.0,2496.0,268.0,507.0,128.0,,,,15.0,978.0,,298.0,1515.0,,362.0,1135.0,1188.0,239.0,2088.0,395.0,1508.0,,630.0,270.0,2576.0,,712.0,5259.0,522.0,721.0,250.0,8039.0,1830.0,582.0,3441.0,,2733.0,1268.0,1216.0,,351.0,2663.0,1595.0,31.0,405.0,,399.0,
2021-03-24 21:12:00,,,1216.0,472.0,1331.0,,1855.0,1166.0,108.0,509.0,471.0,41.0,,3809.0,1475.0,1216.0,144.0,163.0,72.0,,,,14.0,657.0,,452.0,764.0,,555.0,2487.0,1099.0,381.0,2368.0,1465.0,1185.0,,605.0,231.0,3387.0,,4297.0,5475.0,1271.0,257.0,113.0,3022.0,3444.0,67.0,5226.0,,3046.0,1020.0,2748.0,,168.0,3404.0,949.0,58.0,567.0,,671.0,
2021-03-24 21:13:00,,,775.0,350.0,940.0,,1163.0,938.0,19.0,416.0,787.0,103.0,,1815.0,405.0,2069.0,89.0,279.0,126.0,,,,6.0,670.0,,407.0,1882.0,,627.0,2136.0,1117.0,266.0,647.0,1015.0,453.0,,602.0,190.0,2383.0,,3582.0,3414.0,1297.0,383.0,115.0,3289.0,2513.0,380.0,3319.0,,1346.0,1218.0,1196.0,,178.0,3264.0,2468.0,35.0,360.0,,689.0,
2021-03-24 21:14:00,,,760.0,1270.0,2926.0,,1228.0,479.0,17.0,726.0,356.0,43.0,,2155.0,592.0,1282.0,1040.0,379.0,83.0,,,,12.0,505.0,,339.0,969.0,,450.0,2025.0,1006.0,290.0,1168.0,802.0,2017.0,,579.0,291.0,6461.0,,1964.0,5296.0,841.0,304.0,557.0,3794.0,2845.0,355.0,3570.0,,1828.0,572.0,1139.0,,190.0,4681.0,1102.0,24.0,1338.0,,418.0,
2021-03-24 21:15:00,,,1451.0,1356.0,2717.0,,1959.0,1294.0,9.0,464.0,1123.0,77.0,,1753.0,1126.0,4009.0,310.0,203.0,80.0,,,,7.0,788.0,,468.0,1309.0,,346.0,1346.0,1874.0,581.0,3747.0,1362.0,1931.0,,812.0,187.0,8381.0,,1140.0,8960.0,1327.0,198.0,93.0,3404.0,3051.0,263.0,1948.0,,1381.0,589.0,580.0,,142.0,5505.0,1082.0,11.0,2680.0,,530.0,
2021-03-24 21:16:00,,,631.0,878.0,1438.0,,1557.0,823.0,123.0,507.0,2897.0,31.0,,1241.0,590.0,2450.0,602.0,174.0,48.0,,,,5.0,265.0,,536.0,641.0,,440.0,904.0,3754.0,652.0,4595.0,1030.0,1241.0,,581.0,278.0,6892.0,,445.0,4552.0,825.0,681.0,126.0,3775.0,3091.0,126.0,1769.0,,1559.0,500.0,1296.0,,206.0,12868.0,1426.0,33.0,902.0,,849.0,
2021-03-24 21:17:00,,,394.0,585.0,1633.0,,2136.0,1519.0,148.0,908.0,2761.0,24.0,,1672.0,464.0,4168.0,145.0,146.0,180.0,,,,3.0,313.0,,433.0,826.0,,337.0,1063.0,2373.0,495.0,2781.0,707.0,1248.0,,963.0,229.0,5637.0,,526.0,8311.0,1366.0,288.0,89.0,6307.0,2912.0,418.0,1593.0,,1211.0,516.0,1028.0,,393.0,12928.0,841.0,18.0,876.0,,759.0,
2021-03-24 21:18:00,,,665.0,893.0,1286.0,,1726.0,2697.0,13.0,740.0,533.0,85.0,,6024.0,410.0,2785.0,238.0,531.0,389.0,,,,5.0,402.0,,199.0,555.0,,172.0,1181.0,2117.0,409.0,1942.0,1017.0,673.0,,615.0,170.0,8234.0,,988.0,11170.0,1405.0,321.0,79.0,3936.0,2342.0,27.0,2841.0,,2069.0,319.0,1649.0,,278.0,8755.0,646.0,15.0,929.0,,645.0,
2021-03-24 21:19:00,,,431.0,418.0,1136.0,,1738.0,2055.0,9.0,340.0,228.0,47.0,,3618.0,195.0,688.0,84.0,145.0,204.0,,,,73.0,813.0,,215.0,2529.0,,168.0,937.0,1170.0,222.0,1175.0,1556.0,672.0,,773.0,103.0,4278.0,,669.0,5404.0,1020.0,559.0,88.0,3156.0,1760.0,133.0,2237.0,,1157.0,486.0,890.0,,137.0,4130.0,835.0,10.0,737.0,,215.0,
2021-03-24 21:20:00,,,722.0,444.0,1221.0,,4434.0,2508.0,149.0,550.0,288.0,29.0,,1977.0,618.0,1332.0,108.0,186.0,213.0,,,,29.0,376.0,,347.0,4651.0,,130.0,1038.0,2550.0,309.0,1240.0,4590.0,817.0,,1126.0,137.0,2984.0,,551.0,5513.0,2766.0,220.0,180.0,2704.0,3764.0,255.0,1217.0,,1784.0,610.0,962.0,,146.0,7099.0,1085.0,8.0,1240.0,,843.0,
2021-03-24 21:21:00,,,860.0,293.0,1057.0,,2772.0,1243.0,12.0,273.0,182.0,12.0,,1087.0,486.0,2646.0,88.0,160.0,119.0,,,,9.0,529.0,,161.0,3645.0,,224.0,1445.0,1355.0,157.0,1908.0,1015.0,733.0,,592.0,280.0,1749.0,,642.0,1606.0,786.0,465.0,109.0,2746.0,2960.0,215.0,2136.0,,1617.0,115.0,1468.0,,130.0,5537.0,1028.0,23.0,727.0,,357.0,
2021-03-24 21:22:00,,,611.0,916.0,2339.0,,2153.0,1546.0,15.0,603.0,251.0,67.0,,933.0,330.0,3080.0,230.0,442.0,280.0,,,,9.0,1464.0,,153.0,1868.0,,143.0,4452.0,1486.0,970.0,515.0,1499.0,226.0,,1041.0,276.0,825.0,,460.0,1300.0,1039.0,936.0,159.0,6154.0,4055.0,224.0,10302.0,,2056.0,612.0,650.0,,498.0,5719.0,865.0,7.0,354.0,,1069.0,
2021-03-24 21:23:00,,,442.0,452.0,1486.0,,805.0,2537.0,45.0,382.0,515.0,3.0,,1226.0,517.0,1816.0,97.0,160.0,153.0,,,,3.0,637.0,,138.0,463.0,,115.0,1528.0,984.0,1108.0,268.0,1160.0,289.0,,658.0,127.0,4868.0,,533.0,8389.0,1728.0,211.0,106.0,2358.0,3434.0,65.0,3837.0,,1342.0,131.0,814.0,,257.0,2090.0,673.0,11.0,423.0,,461.0,
2021-03-24 21:24:00,,,996.0,738.0,2146.0,,1193.0,1285.0,112.0,432.0,1069.0,22.0,,2015.0,386.0,2325.0,94.0,207.0,98.0,,,,16.0,374.0,,145.0,1035.0,,205.0,1579.0,756.0,357.0,1685.0,323.0,586.0,,808.0,359.0,4365.0,,454.0,7012.0,1210.0,367.0,125.0,2697.0,5422.0,189.0,5002.0,,2042.0,665.0,3104.0,,145.0,2214.0,929.0,17.0,644.0,,270.0,
2021-03-24 21:25:00,,,656.0,423.0,1039.0,,1538.0,2947.0,88.0,292.0,604.0,12.0,,744.0,415.0,890.0,85.0,100.0,100.0,,,,19.0,407.0,,154.0,1371.0,,273.0,1145.0,756.0,387.0,1750.0,752.0,215.0,,1409.0,137.0,2865.0,,1866.0,2767.0,5879.0,303.0,135.0,1776.0,1605.0,176.0,2526.0,,1332.0,471.0,1628.0,,82.0,2283.0,2431.0,64.0,730.0,,336.0,
2021-03-24 21:26:00,,,805.0,155.0,1496.0,,984.0,2365.0,128.0,267.0,375.0,40.0,,925.0,895.0,1943.0,91.0,399.0,159.0,,,,17.0,230.0,,167.0,2472.0,,519.0,1100.0,459.0,199.0,472.0,729.0,291.0,,1038.0,264.0,4573.0,,791.0,10390.0,5190.0,1028.0,273.0,1605.0,1758.0,152.0,3174.0,,1281.0,817.0,1107.0,,130.0,1713.0,1312.0,71.0,602.0,,140.0,
