,UR888,fb888,CF888,PF888,ag888,jd888,pp888,y888,rr888,sc888,a888,nr888,T888,FG888,al888,bu888,pg888,b888,lu888,TS888,PK888,CJ888,CY888,eb888,AP888,jm888,v888,SF888,cu888,eg888,hc888,j888,c888,l888,cs888,IF888,OI888,au888,m888,SM888,ZC888,RM888,p888,zn888,pb888,fu888,TA888,ss888,MA888,IH888,sp888,ru888,SA888,IC888,sn888,rb888,ni888,bc888,SR888,lh888,i888,TF888
2021-03-24 21:12:00,,,13.0,23.0,30.0,,64.0,10.0,18.0,32.0,33.0,16.0,,6.0,11.0,0.0,21.0,19.0,12.0,,,,13.0,43.0,,15.0,2.0,,22.0,59.0,15.0,29.0,8.0,3.0,13.0,,47.0,46.0,18.0,,22.0,9.0,10.0,13.0,2.0,7.0,14.0,1.0,12.0,,22.0,10.0,17.0,,59.0,19.0,36.0,42.0,13.0,,5.0,
2021-03-24 21:13:00,,,3.0,23.0,11.0,,55.0,13.0,6.0,36.0,39.0,29.0,,5.0,10.0,4.0,27.0,32.0,12.0,,,,6.0,45.0,,17.0,7.0,,28.0,56.0,24.0,20.0,1.0,4.0,3.0,,47.0,27.0,13.0,,29.0,6.0,16.0,15.0,1.0,10.0,15.0,9.0,10.0,,14.0,13.0,5.0,,58.0,17.0,54.0,46.0,22.0,,7.0,
2021-03-24 21:14:00,,,1.0,36.0,37.0,,68.0,9.0,3.0,32.0,39.0,17.0,,15.0,6.0,4.0,47.0,31.0,17.0,,,,9.0,39.0,,12.0,2.0,,13.0,58.0,14.0,9.0,4.0,5.0,16.0,,44.0,54.0,22.0,,4.0,13.0,7.0,9.0,25.0,14.0,20.0,10.0,13.0,,16.0,11.0,4.0,,63.0,14.0,30.0,44.0,29.0,,9.0,
2021-03-24 21:15:00,,,22.0,24.0,19.0,,61.0,17.0,3.0,28.0,37.0,16.0,,10.0,15.0,13.0,47.0,32.0,12.0,,,,13.0,48.0,,12.0,8.0,,6.0,40.0,14.0,30.0,6.0,10.0,17.0,,59.0,41.0,27.0,,10.0,12.0,21.0,4.0,1.0,13.0,4.0,6.0,9.0,,13.0,2.0,1.0,,70.0,13.0,48.0,22.0,27.0,,7.0,
2021-03-24 21:16:00,,,7.0,29.0,8.0,,57.0,9.0,3.0,36.0,59.0,4.0,,3.0,22.0,4.0,57.0,26.0,8.0,,,,7.0,51.0,,9.0,4.0,,19.0,31.0,35.0,22.0,15.0,13.0,15.0,,42.0,46.0,26.0,,3.0,13.0,11.0,26.0,8.0,6.0,11.0,2.0,5.0,,15.0,6.0,4.0,,72.0,26.0,54.0,35.0,12.0,,10.0,
2021-03-24 21:17:00,,,1.0,22.0,17.0,,70.0,20.0,10.0,31.0,58.0,8.0,,7.0,9.0,11.0,34.0,27.0,25.0,,,,4.0,51.0,,16.0,3.0,,24.0,38.0,40.0,21.0,10.0,1.0,30.0,,66.0,50.0,15.0,,6.0,19.0,27.0,13.0,5.0,15.0,23.0,16.0,10.0,,10.0,5.0,11.0,,78.0,35.0,56.0,29.0,14.0,,12.0,
2021-03-24 21:18:00,,,3.0,24.0,11.0,,57.0,38.0,2.0,35.0,31.0,13.0,,20.0,11.0,12.0,47.0,34.0,28.0,,,,6.0,53.0,,8.0,2.0,,17.0,38.0,43.0,16.0,10.0,2.0,10.0,,50.0,29.0,32.0,,12.0,24.0,25.0,13.0,3.0,6.0,6.0,0.0,9.0,,13.0,4.0,7.0,,78.0,25.0,42.0,23.0,18.0,,10.0,
2021-03-24 21:19:00,,,1.0,19.0,19.0,,51.0,17.0,0.0,29.0,23.0,6.0,,17.0,7.0,0.0,18.0,24.0,24.0,,,,20.0,53.0,,7.0,4.0,,14.0,41.0,20.0,13.0,12.0,5.0,4.0,,51.0,20.0,13.0,,15.0,10.0,13.0,20.0,2.0,9.0,6.0,3.0,9.0,,7.0,7.0,5.0,,63.0,17.0,50.0,24.0,7.0,,1.0,
2021-03-24 21:20:00,,,3.0,28.0,15.0,,75.0,28.0,8.0,30.0,25.0,11.0,,10.0,11.0,2.0,14.0,25.0,14.0,,,,17.0,44.0,,11.0,11.0,,15.0,50.0,34.0,12.0,0.0,9.0,18.0,,64.0,30.0,14.0,,7.0,13.0,25.0,5.0,7.0,6.0,8.0,7.0,9.0,,18.0,11.0,8.0,,54.0,19.0,37.0,12.0,9.0,,7.0,
2021-03-24 21:21:00,,,8.0,23.0,12.0,,62.0,16.0,0.0,10.0,8.0,2.0,,8.0,19.0,3.0,22.0,6.0,10.0,,,,9.0,66.0,,11.0,11.0,,20.0,52.0,23.0,10.0,11.0,4.0,13.0,,53.0,31.0,3.0,,5.0,1.0,6.0,5.0,1.0,4.0,9.0,14.0,2.0,,15.0,0.0,5.0,,49.0,16.0,42.0,43.0,5.0,,4.0,
